c,CATEGORY,CLASS TYPE,PRODUCT,UNIT,QUANTITY,RUPEES,DOLLARS,% QUANTITY,% RUPEES,% DOLLARS,STATUS,Year,Quarter,Month,Day
858,PETROLEUM GROUP,," PETROLEUM GAS, LIQUIFIED",,,7932,42998,,-28.13,-30.02,Import,2022,Qtr 2,April,1
859,PETROLEUM GROUP,, OTHERS,,,1,4,,-77.57,-80.37,Import,2022,Qtr 2,April,1
861,TEXTILE GROUP,, RAW COTTON,MT,76561,38533,208871,21.69,37.28,33.66,Import,2022,Qtr 2,April,1
862,TEXTILE GROUP,, SYNTHETIC FIBRE,MT,32757,13009,70515,13.15,11.69,8.74,Import,2022,Qtr 2,April,1
863,TEXTILE GROUP,, SYNTHETIC & ARTIFICIAL SILK YARN,MT,21450,12937,70124,-6.6,-10.62,-12.97,Import,2022,Qtr 2,April,1
864,TEXTILE GROUP,, WORN CLOTHING,MT,84194,5814,31513,-47.81,-53.27,-54.5,Import,2022,Qtr 2,April,1
865,TEXTILE GROUP,, OTHR TEXTILE ITEMS,,,9257,50181,,-16.33,-18.54,Import,2022,Qtr 2,April,1
867,"AGRICULTURAL & OTHER
 CHEMICALS GROUP",, FERTILIZER MANUFACTURED,MT,60250,6096,33047,2.87,4.67,1.91,Import,2022,Qtr 2,April,1
868,"AGRICULTURAL & OTHER
 CHEMICALS GROUP",, INSECTICIDES,MT,2499,3596,19492,0.48,22.85,19.61,Import,2022,Qtr 2,April,1
869,"AGRICULTURAL & OTHER
 CHEMICALS GROUP",, PLASTIC MATERIALS,MT,165489,51678,280127,-18.48,-12.68,-14.98,Import,2022,Qtr 2,April,1
870,"AGRICULTURAL & OTHER
 CHEMICALS GROUP",, MEDICINAL PRODUCTS,MT,2741,25161,136388,74.92,66.33,61.94,Import,2022,Qtr 2,April,1
871,"AGRICULTURAL & OTHER
 CHEMICALS GROUP",, OTHERS,,,101162,548361,,8.44,5.58,Import,2022,Qtr 2,April,1
873,METAL GROUP,, GOLD,KG,37,467,2532,85,58.94,54.73,Import,2022,Qtr 2,April,1
874,METAL GROUP,, IRON AND STEEL SCRAP,MT,265292,32751,177530,-18.16,-8.35,-10.77,Import,2022,Qtr 2,April,1
875,METAL GROUP,, IRON AND STEEL,MT,194492,35157,190570,-21.61,-7.87,-10.3,Import,2022,Qtr 2,April,1
876,METAL GROUP,, ALUMINIUM WROUGHT & WORKED,,,4755,25776,,1.57,-1.11,Import,2022,Qtr 2,April,1
877,METAL GROUP,, ALL OTHER METALS & ARTICALS,,,14141,76650,,-9.14,-11.54,Import,2022,Qtr 2,April,1
879,MISCELLANEOUS GROUP,, RUBBER CRUDE INCL  SYNTH/RECLAIMED,MT,31125,4191,22719,-8.06,2.27,-0.42,Import,2022,Qtr 2,April,1
880,MISCELLANEOUS GROUP,, RUBBER TYRES & TUBES,NO,213150,2016,10929,-26.36,-22.91,-24.94,Import,2022,Qtr 2,April,1
881,MISCELLANEOUS GROUP,, WOOD & CORK,,,2543,13784,,11.61,8.67,Import,2022,Qtr 2,April,1
882,MISCELLANEOUS GROUP,, JUTE,MT,2053,397,2153,-65.71,-58.17,-59.28,Import,2022,Qtr 2,April,1
883,MISCELLANEOUS GROUP,, PAPER & PAPER BOARD & MANUF THEREOF,MT,34166,7063,38284,-9.88,-8.61,-11.02,Import,2022,Qtr 2,April,1
884,MISCELLANEOUS GROUP,,ALL OTHERS ITEMS,,,96609,523679,,2.18,-0.51,Import,2022,Qtr 2,April,1
887,FOOD GROUP,," MILK,CREAM & MILK FOOD FOR INFANTS",MT,2879,2731,12363,27.22,30.41,29.55,Import,2022,Qtr 3,August,1
888,FOOD GROUP,, WHEAT UNMILLED,MT,410918,44977,203622,94.2,91.3,90.05,Import,2022,Qtr 3,August,1
889,FOOD GROUP,, DRY FRUITS & NUTS,MT,4938,548,2481,51.85,32.7,31.83,Import,2022,Qtr 3,August,1
890,FOOD GROUP,, TEA,MT,18581,10292,46593,2.47,3.49,2.81,Import,2022,Qtr 3,August,1
891,FOOD GROUP,, SPICES,MT,11653,3107,14064,4.99,15.4,14.64,Import,2022,Qtr 3,August,1
892,FOOD GROUP,, SOYABEAN OIL,MT,15500,6016,27234,40.91,73.41,72.27,Import,2022,Qtr 3,August,1
893,FOOD GROUP,, PALM OIL,MT,267450,92096,416939,41.84,40.2,39.28,Import,2022,Qtr 3,August,1
894,FOOD GROUP,, SUGAR,MT,790,151,682,58.32,53.71,52.57,Import,2022,Qtr 3,August,1
895,FOOD GROUP,, PULSES (LEGUMINOUS VEGETABLES),MT,125825,24314,110076,112,108.87,107.5,Import,2022,Qtr 3,August,1
896,FOOD GROUP,, ALL OTHERS FOOD ITEMS,,,41146,186276,,-14.11,-14.67,Import,2022,Qtr 3,August,1
898,MACHINERY GROUP,, POWER GENERATING MACHINERY,,,12058,54589,,22.68,21.87,Import,2022,Qtr 3,August,1
899,MACHINERY GROUP,, OFFICE MACHINE INCL DATA PROC EQUIP;,,,4620,20918,,14.42,13.67,Import,2022,Qtr 3,August,1
900,MACHINERY GROUP,, TEXTILE MACHINERY,,,12338,55857,,50.04,49.06,Import,2022,Qtr 3,August,1
901,MACHINERY GROUP,, CONSTRUCTION & MINING MACHINERY,,,1444,6538,,-13.53,-14.09,Import,2022,Qtr 3,August,1
902,MACHINERY GROUP,, ELECTRICAL MACHINERY & APPARATUS,,,43114,195188,,-19.12,-19.65,Import,2022,Qtr 3,August,1
904,MACHINERY GROUP, TELE COM, MOBILE PHONE,,,13929,63060,,63.58,62.51,Import,2022,Qtr 3,August,1
905,MACHINERY GROUP, TELE COM, OTHER APPARATUS,,,8499,38477,,33.11,32.24,Import,2022,Qtr 3,August,1
906,MACHINERY GROUP,, AGRICULTURAL MACHINERY & IMPLEMENTS,,,1366,6185,,10.53,9.8,Import,2022,Qtr 3,August,1
907,MACHINERY GROUP,, OTHER MACHINERY,,,50273,227597,,12.92,12.18,Import,2022,Qtr 3,August,1
911,TRANSPORT GROUP," ROAD MOTOR VEH  (BUILD UNIT,CKD/SKD)","CBU-BUSES,TRUCKS & OTH  HEAVY VEHICLES",,,6315,28589,,87.17,85.93,Import,2022,Qtr 3,August,1
912,TRANSPORT GROUP," ROAD MOTOR VEH  (BUILD UNIT,CKD/SKD)",CBU-MOTOR CARS,,,1800,8147,,-13.44,-14.01,Import,2022,Qtr 3,August,1
913,TRANSPORT GROUP," ROAD MOTOR VEH  (BUILD UNIT,CKD/SKD)",CBU-MOTOR CYCLES,,,20,88,,-42.62,-43.23,Import,2022,Qtr 3,August,1
915,TRANSPORT GROUP," ROAD MOTOR VEH  (BUILD UNIT,CKD/SKD)","CKD/SKD-BUSES,TRUCKS & OTH  HEAVY VEHICLES",,,5900,26709,,-3.41,-4.05,Import,2022,Qtr 3,August,1
916,TRANSPORT GROUP," ROAD MOTOR VEH  (BUILD UNIT,CKD/SKD)",CKD/SKD-MOTOR CARS,,,21813,98754,,46.41,45.45,Import,2022,Qtr 3,August,1
917,TRANSPORT GROUP," ROAD MOTOR VEH  (BUILD UNIT,CKD/SKD)",CKD/SKD-MOTOR CYCLES,,,1392,6300,,15.87,15.11,Import,2022,Qtr 3,August,1
918,TRANSPORT GROUP," ROAD MOTOR VEH  (BUILD UNIT,CKD/SKD)",PARTS & ACCESSORIES,,,8557,38739,,29.26,28.41,Import,2022,Qtr 3,August,1
919,TRANSPORT GROUP," ROAD MOTOR VEH  (BUILD UNIT,CKD/SKD)",OTHERS,,,385,1744,,-40.08,-40.48,Import,2022,Qtr 3,August,1
920,TRANSPORT GROUP,,"AIRCRAFTS, SHIPS AND BOATS",,,502,2273,,-95.33,-95.36,Import,2022,Qtr 3,August,1
921,TRANSPORT GROUP,,OTHERS TRANSPORT EQUIPMENTS,,,40,179,,-84.9,-85.01,Import,2022,Qtr 3,August,1
923,PETROLEUM GROUP,, PETROLEUM PRODUCTS,MT,1150291,205549,930566,50.08,28.65,27.81,Import,2022,Qtr 3,August,1
924,PETROLEUM GROUP,, PETROLEUM CRUDE,MT,644485,104572,473419,7.02,10.54,9.82,Import,2022,Qtr 3,August,1
925,PETROLEUM GROUP,,"NATURAL GAS, LIQUIFIED",,,88118,398931,,74.2,73.06,Import,2022,Qtr 3,August,1
926,PETROLEUM GROUP,," PETROLEUM GAS, LIQUIFIED",,,13929,63059,,36.8,35.9,Import,2022,Qtr 3,August,1
927,PETROLEUM GROUP,, OTHERS,,,1,4,,-93.83,-94.52,Import,2022,Qtr 3,August,1
929,TEXTILE GROUP,, RAW COTTON,MT,51384,32916,149017,32.87,41.03,40.11,Import,2022,Qtr 3,August,1
930,TEXTILE GROUP,, SYNTHETIC FIBRE,MT,25615,12291,55646,-5.8,-5.68,-6.29,Import,2022,Qtr 3,August,1
931,TEXTILE GROUP,, SYNTHETIC & ARTIFICIAL SILK YARN,MT,25237,12376,56030,-3.83,-7.77,-8.38,Import,2022,Qtr 3,August,1
932,TEXTILE GROUP,, WORN CLOTHING,MT,91802,8845,40044,35.62,49.51,48.53,Import,2022,Qtr 3,August,1
933,TEXTILE GROUP,, OTHR TEXTILE ITEMS,,,15222,68915,,25.21,24.38,Import,2022,Qtr 3,August,1
935,"AGRICULTURAL & OTHER
 CHEMICALS GROUP",, FERTILIZER MANUFACTURED,MT,18565,4126,18677,272.27,280.24,277.77,Import,2022,Qtr 3,August,1
936,"AGRICULTURAL & OTHER
 CHEMICALS GROUP",, INSECTICIDES,MT,3532,4704,21294,-4.31,-10.93,-11.52,Import,2022,Qtr 3,August,1
937,"AGRICULTURAL & OTHER
 CHEMICALS GROUP",, PLASTIC MATERIALS,MT,128513,46649,211190,-15.39,-12.08,-12.66,Import,2022,Qtr 3,August,1
938,"AGRICULTURAL & OTHER
 CHEMICALS GROUP",, MEDICINAL PRODUCTS,MT,3956,24466,110764,21.42,21.25,20.46,Import,2022,Qtr 3,August,1
939,"AGRICULTURAL & OTHER
 CHEMICALS GROUP",, OTHERS,,,118231,535256,,21.65,20.85,Import,2022,Qtr 3,August,1
941,METAL GROUP,, GOLD,KG,35,536,2426,118.75,139.27,137.61,Import,2022,Qtr 3,August,1
942,METAL GROUP,, IRON AND STEEL SCRAP,MT,279485,34396,155718,61.23,51.95,50.96,Import,2022,Qtr 3,August,1
943,METAL GROUP,, IRON AND STEEL,MT,140553,32617,147663,-27.29,-24.49,-24.99,Import,2022,Qtr 3,August,1
944,METAL GROUP,, ALUMINIUM WROUGHT & WORKED,,,6599,29874,,61.74,60.67,Import,2022,Qtr 3,August,1
945,METAL GROUP,, ALL OTHER METALS & ARTICALS,,,19294,87350,,-8.19,-8.79,Import,2022,Qtr 3,August,1
947,MISCELLANEOUS GROUP,, RUBBER CRUDE INCL  SYNTH/RECLAIMED,MT,50124,5575,25241,30.59,37.06,36.16,Import,2022,Qtr 3,August,1
948,MISCELLANEOUS GROUP,, RUBBER TYRES & TUBES,NO,379440,3087,13975,9.86,14.37,13.62,Import,2022,Qtr 3,August,1
949,MISCELLANEOUS GROUP,, WOOD & CORK,,,1656,7499,,67.64,66.57,Import,2022,Qtr 3,August,1
950,MISCELLANEOUS GROUP,, JUTE,MT,8553,1856,8403,59.45,65.73,64.64,Import,2022,Qtr 3,August,1
951,MISCELLANEOUS GROUP,, PAPER & PAPER BOARD & MANUF THEREOF,MT,38605,9970,45134,32.39,37.97,37.06,Import,2022,Qtr 3,August,1
952,MISCELLANEOUS GROUP,,ALL OTHERS ITEMS,,,113700,514749,,46.68,45.72,Import,2022,Qtr 3,August,1
955,FOOD GROUP,," MILK,CREAM & MILK FOOD FOR INFANTS",MT,3873,3877,17249,-1.05,18.39,17.09,Import,2022,Qtr 4,December,1
956,FOOD GROUP,, WHEAT UNMILLED,MT,391423,33453,148838,100,100,100,Import,2022,Qtr 4,December,1
957,FOOD GROUP,, DRY FRUITS & NUTS,MT,8473,963,4285,6.6,10.04,8.84,Import,2022,Qtr 4,December,1
958,FOOD GROUP,, TEA,MT,27388,15904,70759,21.75,28.75,27.34,Import,2022,Qtr 4,December,1
959,FOOD GROUP,, SPICES,MT,16165,3778,16811,40.02,42.46,40.9,Import,2022,Qtr 4,December,1
960,FOOD GROUP,, SOYABEAN OIL,MT,7175,2456,10926,-64.2,-65.86,-66.24,Import,2022,Qtr 4,December,1
961,FOOD GROUP,, PALM OIL,MT,342912,80361,357538,20.34,13.63,12.39,Import,2022,Qtr 4,December,1
962,FOOD GROUP,, SUGAR,MT,389,73,327,-57.67,-57.98,-58.4,Import,2022,Qtr 4,December,1
963,FOOD GROUP,, PULSES (LEGUMINOUS VEGETABLES),MT,115009,17892,79605,-27.66,-23.52,-24.36,Import,2022,Qtr 4,December,1
964,FOOD GROUP,, ALL OTHERS FOOD ITEMS,,,28603,127259,,20.25,18.93,Import,2022,Qtr 4,December,1
966,MACHINERY GROUP,, POWER GENERATING MACHINERY,,,10055,44737,,-21.64,-22.5,Import,2022,Qtr 4,December,1
967,MACHINERY GROUP,, OFFICE MACHINE INCL DATA PROC EQUIP;,,,8312,36981,,-7.71,-8.72,Import,2022,Qtr 4,December,1
968,MACHINERY GROUP,, TEXTILE MACHINERY,,,6556,29170,,17.81,16.53,Import,2022,Qtr 4,December,1
969,MACHINERY GROUP,, CONSTRUCTION & MINING MACHINERY,,,2259,10051,,112.59,110.27,Import,2022,Qtr 4,December,1
970,MACHINERY GROUP,, ELECTRICAL MACHINERY & APPARATUS,,,18197,80959,,-47.55,-48.12,Import,2022,Qtr 4,December,1
972,MACHINERY GROUP, TELE COM, MOBILE PHONE,,,16248,72291,,13.28,12.04,Import,2022,Qtr 4,December,1
973,MACHINERY GROUP, TELE COM, OTHER APPARATUS,,,8513,37874,,-16.06,-16.97,Import,2022,Qtr 4,December,1
974,MACHINERY GROUP,, AGRICULTURAL MACHINERY & IMPLEMENTS,,,384,1707,,-13.9,-14.82,Import,2022,Qtr 4,December,1
975,MACHINERY GROUP,, OTHER MACHINERY,,,36437,162115,,17.99,16.7,Import,2022,Qtr 4,December,1
979,TRANSPORT GROUP," ROAD MOTOR VEH  (BUILD UNIT,CKD/SKD)","CBU-BUSES,TRUCKS & OTH  HEAVY VEHICLES",,,1475,6562,,128.56,126.04,Import,2022,Qtr 4,December,1
980,TRANSPORT GROUP," ROAD MOTOR VEH  (BUILD UNIT,CKD/SKD)",CBU-MOTOR CARS,,,1176,5234,,43.34,41.77,Import,2022,Qtr 4,December,1
981,TRANSPORT GROUP," ROAD MOTOR VEH  (BUILD UNIT,CKD/SKD)",CBU-MOTOR CYCLES,,,75,334,,445.38,438.71,Import,2022,Qtr 4,December,1
983,TRANSPORT GROUP," ROAD MOTOR VEH  (BUILD UNIT,CKD/SKD)","CKD/SKD-BUSES,TRUCKS & OTH  HEAVY VEHICLES",,,6395,28453,,-21.33,-22.19,Import,2022,Qtr 4,December,1
984,TRANSPORT GROUP," ROAD MOTOR VEH  (BUILD UNIT,CKD/SKD)",CKD/SKD-MOTOR CARS,,,9475,42157,,-57.41,-57.88,Import,2022,Qtr 4,December,1
985,TRANSPORT GROUP," ROAD MOTOR VEH  (BUILD UNIT,CKD/SKD)",CKD/SKD-MOTOR CYCLES,,,796,3539,,-26.04,-26.85,Import,2022,Qtr 4,December,1
986,TRANSPORT GROUP," ROAD MOTOR VEH  (BUILD UNIT,CKD/SKD)",PARTS & ACCESSORIES,,,6052,26927,,-3.06,-4.12,Import,2022,Qtr 4,December,1
987,TRANSPORT GROUP," ROAD MOTOR VEH  (BUILD UNIT,CKD/SKD)",OTHERS,,,1082,4816,,119.23,116.84,Import,2022,Qtr 4,December,1
988,TRANSPORT GROUP,,"AIRCRAFTS, SHIPS AND BOATS",,,5038,22414,,392.37,386.94,Import,2022,Qtr 4,December,1
989,TRANSPORT GROUP,,OTHERS TRANSPORT EQUIPMENTS,,,51,226,,-99.4,-99.4,Import,2022,Qtr 4,December,1
991,PETROLEUM GROUP,, PETROLEUM PRODUCTS,MT,956817,146065,649862,0.59,-7.23,-8.24,Import,2022,Qtr 4,December,1
992,PETROLEUM GROUP,, PETROLEUM CRUDE,MT,810478,113024,502858,3.76,-6.88,-7.9,Import,2022,Qtr 4,December,1
993,PETROLEUM GROUP,,"NATURAL GAS, LIQUIFIED",,,82017,364904,,15.96,14.7,Import,2022,Qtr 4,December,1
994,PETROLEUM GROUP,," PETROLEUM GAS, LIQUIFIED",,,15193,67596,,-7.38,-8.39,Import,2022,Qtr 4,December,1
995,PETROLEUM GROUP,, OTHERS,,,10,43,,1.65,2.38,Import,2022,Qtr 4,December,1
997,TEXTILE GROUP,, RAW COTTON,MT,91926,53878,239709,41.52,38.42,36.91,Import,2022,Qtr 4,December,1
998,TEXTILE GROUP,, SYNTHETIC FIBRE,MT,22236,8700,38709,12.79,4.54,3.4,Import,2022,Qtr 4,December,1
999,TEXTILE GROUP,, SYNTHETIC & ARTIFICIAL SILK YARN,MT,35152,13831,61537,-5.08,0.22,-0.87,Import,2022,Qtr 4,December,1
1000,TEXTILE GROUP,, WORN CLOTHING,MT,69950,6640,29542,-16.89,-16.26,-17.17,Import,2022,Qtr 4,December,1
1001,TEXTILE GROUP,, OTHR TEXTILE ITEMS,,,16796,74727,,24.08,22.72,Import,2022,Qtr 4,December,1
1003,"AGRICULTURAL & OTHER
 CHEMICALS GROUP",, FERTILIZER MANUFACTURED,MT,137379,18285,81351,-37.08,-50.95,-51.49,Import,2022,Qtr 4,December,1
1004,"AGRICULTURAL & OTHER
 CHEMICALS GROUP",, INSECTICIDES,MT,1958,2125,9455,-12.7,-39.71,-40.37,Import,2022,Qtr 4,December,1
1005,"AGRICULTURAL & OTHER
 CHEMICALS GROUP",, PLASTIC MATERIALS,MT,164064,48956,217813,19.15,14.57,13.32,Import,2022,Qtr 4,December,1
1006,"AGRICULTURAL & OTHER
 CHEMICALS GROUP",, MEDICINAL PRODUCTS,MT,3120,23183,103143,-33.59,-32.78,-33.51,Import,2022,Qtr 4,December,1
1007,"AGRICULTURAL & OTHER
 CHEMICALS GROUP",, OTHERS,,,88342,393045,,9.62,8.42,Import,2022,Qtr 4,December,1
1009,METAL GROUP,, GOLD,KG,45,732,3259,28.57,50.49,48.88,Import,2022,Qtr 4,December,1
1010,METAL GROUP,, IRON AND STEEL SCRAP,MT,191681,22651,100779,-8.88,-8.27,-9.27,Import,2022,Qtr 4,December,1
1011,METAL GROUP,, IRON AND STEEL,MT,250234,39647,176395,46.6,16.03,14.76,Import,2022,Qtr 4,December,1
1012,METAL GROUP,, ALUMINIUM WROUGHT & WORKED,,,4572,20340,,-7.75,-8.76,Import,2022,Qtr 4,December,1
1013,METAL GROUP,, ALL OTHER METALS & ARTICALS,,,16990,75590,,2.08,0.96,Import,2022,Qtr 4,December,1
1015,MISCELLANEOUS GROUP,, RUBBER CRUDE INCL  SYNTH/RECLAIMED,MT,25005,3514,15636,-17.05,-14.9,-15.83,Import,2022,Qtr 4,December,1
1016,MISCELLANEOUS GROUP,, RUBBER TYRES & TUBES,NO,249509,2232,9932,19.02,15.05,13.79,Import,2022,Qtr 4,December,1
1017,MISCELLANEOUS GROUP,, WOOD & CORK,,,2265,10078,,42.26,40.71,Import,2022,Qtr 4,December,1
1018,MISCELLANEOUS GROUP,, JUTE,MT,6048,1184,5269,14.87,3.32,2.19,Import,2022,Qtr 4,December,1
1019,MISCELLANEOUS GROUP,, PAPER & PAPER BOARD & MANUF THEREOF,MT,42515,11115,49452,19.81,17.48,16.19,Import,2022,Qtr 4,December,1
1020,MISCELLANEOUS GROUP,,ALL OTHERS ITEMS,,,90429,402332,,-3.03,-4.09,Import,2022,Qtr 4,December,1
1023,FOOD GROUP,," MILK,CREAM & MILK FOOD FOR INFANTS",MT,5265,3478,19705,3.15,23.63,23.49,Import,2022,Qtr 1,February,1
1024,FOOD GROUP,, WHEAT UNMILLED,MT,327783,21985,124575,-19.17,-20.59,-20.67,Import,2022,Qtr 1,February,1
1025,FOOD GROUP,, DRY FRUITS & NUTS,MT,8408,784,4442,-28.48,-40.57,-40.62,Import,2022,Qtr 1,February,1
1026,FOOD GROUP,, TEA,MT,25320,12157,68886,11.75,27.75,27.63,Import,2022,Qtr 1,February,1
1027,FOOD GROUP,, SPICES,MT,14474,3107,17608,5.12,-1.79,-1.87,Import,2022,Qtr 1,February,1
1028,FOOD GROUP,, SOYABEAN OIL,MT,11750,2943,16677,-15.03,-11.06,-11.13,Import,2022,Qtr 1,February,1
1029,FOOD GROUP,, PALM OIL,MT,235030,54358,308011,8.28,7.63,7.52,Import,2022,Qtr 1,February,1
1030,FOOD GROUP,, SUGAR,MT,394,60,342,-59.92,-50.57,-50.79,Import,2022,Qtr 1,February,1
1031,FOOD GROUP,, PULSES (LEGUMINOUS VEGETABLES),MT,55194,6878,38974,18.05,16.74,16.62,Import,2022,Qtr 1,February,1
1032,FOOD GROUP,, ALL OTHERS FOOD ITEMS,,,34983,198221,,-17.02,-17.1,Import,2022,Qtr 1,February,1
1034,MACHINERY GROUP,, POWER GENERATING MACHINERY,,,16680,94511,,4.81,4.71,Import,2022,Qtr 1,February,1
1035,MACHINERY GROUP,, OFFICE MACHINE INCL DATA PROC EQUIP;,,,10141,57461,,43.98,43.85,Import,2022,Qtr 1,February,1
1036,MACHINERY GROUP,, TEXTILE MACHINERY,,,12878,72968,,4.88,4.78,Import,2022,Qtr 1,February,1
1037,MACHINERY GROUP,, CONSTRUCTION & MINING MACHINERY,,,2729,15463,,32.93,32.78,Import,2022,Qtr 1,February,1
1038,MACHINERY GROUP,, ELECTRICAL MACHINERY & APPARATUS,,,29875,169283,,15.77,15.65,Import,2022,Qtr 1,February,1
1040,MACHINERY GROUP, TELE COM, MOBILE PHONE,,,24921,141207,,-21.37,-21.45,Import,2022,Qtr 1,February,1
1041,MACHINERY GROUP, TELE COM, OTHER APPARATUS,,,13230,74964,,53.3,53.15,Import,2022,Qtr 1,February,1
1042,MACHINERY GROUP,, AGRICULTURAL MACHINERY & IMPLEMENTS,,,2078,11775,,30.53,30.37,Import,2022,Qtr 1,February,1
1043,MACHINERY GROUP,, OTHER MACHINERY,,,54351,307970,,3.41,3.31,Import,2022,Qtr 1,February,1
1047,TRANSPORT GROUP," ROAD MOTOR VEH  (BUILD UNIT,CKD/SKD)","CBU-BUSES,TRUCKS & OTH  HEAVY VEHICLES",,,4090,23174,,-20.96,-21.03,Import,2022,Qtr 1,February,1
1048,TRANSPORT GROUP," ROAD MOTOR VEH  (BUILD UNIT,CKD/SKD)",CBU-MOTOR CARS,,,3920,22210,,-8.38,-8.46,Import,2022,Qtr 1,February,1
1049,TRANSPORT GROUP," ROAD MOTOR VEH  (BUILD UNIT,CKD/SKD)",CBU-MOTOR CYCLES,,,50,286,,7.43,6.32,Import,2022,Qtr 1,February,1
1051,TRANSPORT GROUP," ROAD MOTOR VEH  (BUILD UNIT,CKD/SKD)","CKD/SKD-BUSES,TRUCKS & OTH  HEAVY VEHICLES",,,6912,39168,,-0.41,-0.51,Import,2022,Qtr 1,February,1
1052,TRANSPORT GROUP," ROAD MOTOR VEH  (BUILD UNIT,CKD/SKD)",CKD/SKD-MOTOR CARS,,,22882,129655,,-21.36,-21.44,Import,2022,Qtr 1,February,1
1053,TRANSPORT GROUP," ROAD MOTOR VEH  (BUILD UNIT,CKD/SKD)",CKD/SKD-MOTOR CYCLES,,,1464,8296,,19.32,19.2,Import,2022,Qtr 1,February,1
1054,TRANSPORT GROUP," ROAD MOTOR VEH  (BUILD UNIT,CKD/SKD)",PARTS & ACCESSORIES,,,7359,41697,,6.68,6.58,Import,2022,Qtr 1,February,1
1055,TRANSPORT GROUP," ROAD MOTOR VEH  (BUILD UNIT,CKD/SKD)",OTHERS,,,1675,9492,,15.69,15.6,Import,2022,Qtr 1,February,1
1056,TRANSPORT GROUP,,"AIRCRAFTS, SHIPS AND BOATS",,,4526,25645,,143.85,143.59,Import,2022,Qtr 1,February,1
1057,TRANSPORT GROUP,,OTHERS TRANSPORT EQUIPMENTS,,,24,134,,-89.68,-89.68,Import,2022,Qtr 1,February,1
1059,PETROLEUM GROUP,, PETROLEUM PRODUCTS,MT,799374,91858,520494,-29.95,-23.12,-23.2,Import,2022,Qtr 1,February,1
1060,PETROLEUM GROUP,, PETROLEUM CRUDE,MT,599578,63486,359730,-11.88,-6.54,-6.63,Import,2022,Qtr 1,February,1
1061,PETROLEUM GROUP,,"NATURAL GAS, LIQUIFIED",,,54523,308943,,-16.66,-16.74,Import,2022,Qtr 1,February,1
1062,PETROLEUM GROUP,," PETROLEUM GAS, LIQUIFIED",,,9922,56220,,-29.83,-29.9,Import,2022,Qtr 1,February,1
1063,PETROLEUM GROUP,, OTHERS,,,3,17,,194.35,183.33,Import,2022,Qtr 1,February,1
1065,TEXTILE GROUP,, RAW COTTON,MT,48695,22527,127642,16.84,28.24,28.11,Import,2022,Qtr 1,February,1
1066,TEXTILE GROUP,, SYNTHETIC FIBRE,MT,24414,9029,51164,16.37,23.57,23.45,Import,2022,Qtr 1,February,1
1067,TEXTILE GROUP,, SYNTHETIC & ARTIFICIAL SILK YARN,MT,31137,11953,67728,-4.94,-8.3,-8.39,Import,2022,Qtr 1,February,1
1068,TEXTILE GROUP,, WORN CLOTHING,MT,79191,5317,30128,75.14,7.78,7.68,Import,2022,Qtr 1,February,1
1069,TEXTILE GROUP,, OTHR TEXTILE ITEMS,,,13646,77322,,5.64,5.54,Import,2022,Qtr 1,February,1
1071,"AGRICULTURAL & OTHER
 CHEMICALS GROUP",, FERTILIZER MANUFACTURED,MT,98795,11302,64043,57.84,15.92,15.81,Import,2022,Qtr 1,February,1
1072,"AGRICULTURAL & OTHER
 CHEMICALS GROUP",, INSECTICIDES,MT,2722,2876,16295,12.42,-3.4,-3.48,Import,2022,Qtr 1,February,1
1073,"AGRICULTURAL & OTHER
 CHEMICALS GROUP",, PLASTIC MATERIALS,MT,158992,44855,254164,27.07,18.7,18.58,Import,2022,Qtr 1,February,1
1074,"AGRICULTURAL & OTHER
 CHEMICALS GROUP",, MEDICINAL PRODUCTS,MT,7544,44091,249834,-16.71,-16.29,-16.37,Import,2022,Qtr 1,February,1
1075,"AGRICULTURAL & OTHER
 CHEMICALS GROUP",, OTHERS,,,88875,503594,,0.14,0.04,Import,2022,Qtr 1,February,1
1077,METAL GROUP,, GOLD,KG,33,370,2094,22.22,21.17,21.11,Import,2022,Qtr 1,February,1
1078,METAL GROUP,, IRON AND STEEL SCRAP,MT,350233,37606,213085,3.36,0.94,0.84,Import,2022,Qtr 1,February,1
1079,METAL GROUP,, IRON AND STEEL,MT,231275,41267,233832,-4.59,16.82,16.71,Import,2022,Qtr 1,February,1
1080,METAL GROUP,, ALUMINIUM WROUGHT & WORKED,,,4258,24128,,-2.87,-2.97,Import,2022,Qtr 1,February,1
1081,METAL GROUP,, ALL OTHER METALS & ARTICALS,,,16528,93653,,19.46,19.34,Import,2022,Qtr 1,February,1
1083,MISCELLANEOUS GROUP,, RUBBER CRUDE INCL  SYNTH/RECLAIMED,MT,27607,3387,19191,-20.68,19.46,19.37,Import,2022,Qtr 1,February,1
1084,MISCELLANEOUS GROUP,, RUBBER TYRES & TUBES,NO,272785,2593,14694,-14.59,-5.94,-6.05,Import,2022,Qtr 1,February,1
1085,MISCELLANEOUS GROUP,, WOOD & CORK,,,3551,20119,,54.24,54.11,Import,2022,Qtr 1,February,1
1086,MISCELLANEOUS GROUP,, JUTE,MT,4001,762,4317,-9.46,-1.94,-2.09,Import,2022,Qtr 1,February,1
1087,MISCELLANEOUS GROUP,, PAPER & PAPER BOARD & MANUF THEREOF,MT,38658,7848,44469,3.36,2.67,2.57,Import,2022,Qtr 1,February,1
1088,MISCELLANEOUS GROUP,,ALL OTHERS ITEMS,,,87298,506819,,8.03,10.58,Import,2022,Qtr 1,February,1
